senaryo_id,veri_id,metrik
1,5,4
1,11,3
1,14,3
1,23,8
1,25,4
1,27,10
1,28,10
1,30,9
1,31,10
1,32,9
1,33,10
1,35,10
1,36,8
1,37,5
1,40,10
1,45,9
1,49,7
1,50,8
2,5,10
2,8,4
2,13,10
2,14,8
2,15,9
2,16,9
2,17,8
2,18,9
2,19,8
2,20,9
2,21,10
2,22,8
2,24,9
2,25,8
2,26,9
2,29,8
2,30,2
2,36,8
2,42,5
2,43,5
3,9,7
3,10,4
3,11,9
3,12,9
3,23,8
3,26,3
3,27,10
3,28,9
3,29,3
3,30,7
3,31,9
3,34,7
3,35,8
3,36,8
3,37,10
3,38,10
3,39,10
3,40,8
3,46,5
3,50,7
4,1,10
4,2,10
4,4,10
4,5,8
4,6,10
4,7,10
4,8,7
4,9,8
4,10,10
4,11,9
4,12,9
4,13,6
4,18,6
4,28,4
4,35,7
4,36,7
4,37,7
4,40,6
4,44,8
4,50,7
5,3,7
5,25,3
5,28,6
5,30,4
5,32,6
5,41,5
5,49,7
6,23,7
6,28,10
6,29,7
6,30,8
6,34,5
6,35,7
