veri_id,veri_adi,grup_id,senaryo_aciklamasi
1,Tarımsal Alan Büyüklüğü,3,"""Tarımsal Alan Büyüklüğü"", bir ilin sahip olduğu toplam tarımsal üretim alanının büyüklüğünü ifade eder. Genellikle dekar veya hektar cinsinden ölçülür. Bu alanın içine işlenen tarlalar (tahıl, baklagiller, sanayi bitkileri vb.) ve uzun ömürlü bitkilerin (meyve bahçeleri, zeytinlikler, bağlar vb.) kapladığı araziler dahildir. Esasen, ilin tarımsal üretim için kullanılabilecek fiziksel kapasitesini ve ölçeğini gösterir."
2,Tarımsal Üretim Miktarı,3,"""Tarımsal Üretim Miktarı"", bir ilin bir yıl içerisinde ürettiği tüm tarımsal ürünlerin toplam ekonomik değerini ifade eder. Bu, sadece üretilen miktar (ton) değil, o miktarın piyasa fiyatlarıyla çarpılmasıyla elde edilen parasal değerdir (TL)."
3,Nüfus Yoğunluğu,1,"Nüfus yoğunluğu, bir ilin coğrafi sınırları içinde birim alana (genellikle kilometrekare) düşen ortalama insan sayısını ifade eder. Bu, bir bölgenin ne kadar ""kalabalık"" veya ""seyrek"" olduğunu gösteren temel bir demografik ve coğrafi ölçüttür"
4,Tarımdaki İşgücü Oranı,8,"""Tarım İşgücü Oranı"", bir ildeki toplam istihdamın ne kadarlık bir kısmının tarımsal faaliyetlerde çalıştığını gösteren temel bir sosyo-ekonomik göstergedir. Bu oran, ildeki tarım, ormancılık ve balıkçılık sektörlerinde çalışan kişi sayısının, o ildeki toplam çalışan kişi sayısına bölünmesi ve sonucun 100 ile çarpılmasıyla yüzde (%) olarak hesaplanır. Yüksek bir oran, il ekonomisinin ve toplumsal yapısının büyük ölçüde tarıma dayalı olduğunu, geleneksel bir ekonomik yapıya sahip olduğunu ve bu alanda tecrübeli geniş bir işgücünün varlığını gösterir. Düşük bir oran ise, ekonominin sanayi ve hizmetler sektörüne doğru çeşitlendiği, daha kentleşmiş veya endüstrileşmiş bir yapıya işaret eder."
5,Eğitimli Nüfus Oranı,6,"""Eğitimli Nüfus Oranı"", bir ildeki belirli bir yaş grubundaki (genellikle 25 yaş ve üzeri) nüfusun ne kadarlık bir kısmının yükseköğretim seviyesinde (üniversite veya daha üstü) bir eğitim programını tamamladığını gösteren kritik bir beşeri sermaye göstergesidir. Bu oran, ildeki yüksekokul, fakülte, yüksek lisans veya doktora mezunu olan kişi sayısının, o ildeki 25 yaş ve üzeri toplam nüfusa bölünmesi ve sonucun 100 ile çarpılmasıyla yüzde (%) olarak hesaplanır. Yüksek bir oran, ilin yüksek nitelikli bir ""beyin gücü"" havuzuna sahip olduğunu, bilgiye dayalı ve teknoloji-yoğun sektörler için çekici bir yatırım ortamı sunduğunu ve inovasyon kapasitesinin yüksek olduğunu gösterir."
6,GSYİH'daki Tarımın Payı,3,"""GSYİH'daki Tarımın Payı"", bir ilin toplam ekonomik çıktısı içinde tarım, ormancılık ve balıkçılık sektörlerinin ne kadar yer tuttuğunu gösteren yapısal bir ekonomik göstergedir. Bu oran, ildeki tarım, ormancılık ve balıkçılık sektörlerinin yarattığı toplam ""Gayrisafi Katma Değer""in (GSKD), o ilin ""Gayrisafi Yurt İçi Hasılası""na (GSYİH) bölünmesi ve sonucun 100 ile çarpılmasıyla yüzde (%) olarak ifade edilir. Yüksek bir oran, il ekonomisinin agrar karakterde olduğunu ve büyük ölçüde tarımsal faaliyetlere dayandığını ortaya koyarken; düşük bir oran ise ekonominin sanayi ve hizmetler sektörleri lehine çeşitlendiğini ve daha modernize bir yapıya sahip olduğunu gösterir."
7,Tarımdaki Girişim Sayısı,3,"""Tarımdaki Girişim Sayısı"", bir ilde tarım, ormancılık ve balıkçılık ana faaliyet kolunda (NACE Rev. 2 Sınıflamasına göre 'A' Sektörü) resmi olarak kayıtlı olan işletme veya ""girişim"" sayısını ifade eden bir ekonomik yapı göstergesidir. Bu metrik, ildeki tarımsal ekosistemin ne kadar geniş ve tabana yayılmış olduğunu ölçer; bireysel çiftçilerden büyük tarım işletmelerine kadar tüm kayıtlı ekonomik birimleri kapsar. Girişim sayısının yüksek olması, genellikle o ilde tarımsal faaliyetlerin yoğun olduğunu ve çok sayıda bağımsız üreticinin bulunduğunu gösterirken, bu durum aynı zamanda sektörün parçalı bir yapıda olabileceğine de işaret edebilir. Düşük bir sayı ise sektörün daha küçük ölçekli olduğuna veya daha az sayıda büyük işletme tarafından domine edildiğine işaret edebilir."
8,Mevsimsellik Skoru,13,"""Mevsimsellik Skoru"", bir ilin ikliminin yıl boyunca ne kadar dengeli, ılıman ve belirgin dört mevsime sahip olduğunu ölçen kompozit bir endekstir. Bu skor, genellikle yaz ve kış ayları arasındaki ortalama sıcaklık farkları, aşırı hava olaylarının (aşırı sıcaklar, don olayları vb.) sıklığı ve yıl içindeki ""konforlu gün"" sayısı gibi birden fazla meteorolojik verinin birleştirilmesiyle oluşturulur. Yüksek bir skor, ilin sert iklim koşullarından uzak, dört mevsimin de yaşanabildiği, öngörülebilir ve insan yaşamı için konforlu bir iklime sahip olduğunu gösterir. Bu durum, hem bölgenin nitelikli personel için çekiciliğini (yaşam kalitesini) artırır hem de çeşitli tarımsal faaliyetler için elverişli bir ortam sunar."
9,Yağışlı Gün Sayısı,13,"""Yağışlı Gün Sayısı"", bir ilde yıl boyunca, belirli bir eşik değerin üzerinde yağış (yağmur, kar, dolu vb.) kaydedilen toplam gün sayısını ifade eden bir klimatoloji metriğidir. Meteorolojik standartlara göre bir günün ""yağışlı"" sayılması için genellikle 24 saat içinde 1.0 mm veya daha fazla yağış alması gerekir. Bu metrik, bölgenin genel nemliliği, su kaynaklarının sürdürülebilirliği ve tarımsal potansiyeli hakkında önemli bilgiler sunar. Yüksek bir sayı, su kaynaklarının zenginliğine ve sulamaya daha az ihtiyaç duyan bir tarım yapısına işaret ederken, turizm ve güneş enerjisi potansiyelini olumsuz etkileyebilir. Düşük bir sayı ise, kuraklığa yatkın bir iklimi ve su yönetimi teknolojilerine olan ihtiyacı gösterebilir."
10,Kuraklık İndisi,13,"""Kuraklık İndisi"", bir bölgedeki kuraklığın şiddetini, süresini ve coğrafi yayılımını standart bir ölçekte ölçmek için kullanılan bilimsel bir göstergedir. Bu endeks, tek bir yağış verisinden ziyade, genellikle Standartlaştırılmış Yağış İndeksi (SPI) gibi yöntemlerle, incelenen dönemin (örneğin, son 3, 6 veya 12 ay) toplam yağış miktarını, o bölgenin uzun yıllara dayanan tarihsel yağış ortalamalarıyla karşılaştırarak hesaplanır. Sonuç, genellikle negatif değerlerin kuraklığı (sayı ne kadar düşükse kuraklık o kadar şiddetlidir), pozitif değerlerin ise normalden daha yağışlı bir dönemi gösterdiği sayısal bir skor olarak ifade edilir. Düşük veya negatif bir kuraklık indisi, ilin su kıtlığı riskinin yüksek olduğunu, tarımsal verimliliğin tehlike altında olduğunu ve su yönetimi ile verimli sulama teknolojilerine olan ihtiyacın kritik seviyede olduğunu gösterir."
11,Baraj Doluluk Oranı,15,"""Baraj Doluluk Oranı"", bir ildeki barajlarda bulunan mevcut su hacminin, bu barajların maksimum depolama kapasitesine oranını yüzde (%) olarak ifade eden bir su kaynakları yönetimi göstergesidir. Bu oran, il sınırları içerisindeki tüm barajların anlık olarak depoladığı toplam su miktarının, bu barajların teknik olarak depolayabileceği en yüksek su miktarına bölünmesiyle hesaplanır. Yüksek bir doluluk oranı, ilin içme, sulama ve sanayi suyu ihtiyacını karşılayacak yeterli yüzey suyu rezervine sahip olduğunu ve su güvenliğinin yüksek olduğunu gösterir. Düşük bir oran ise, su kıtlığı riskine, kuraklık tehlikesine ve tarım ile sanayi gibi suya bağımlı sektörler için potansiyel üretim kısıtlamalarına işaret ederek su verimliliği ve yönetimi teknolojilerine olan acil ihtiyacı vurgular."
12,Baraj Sayısı,15,"""Baraj Sayısı"", bir ilin coğrafi sınırları içerisinde yer alan, su depolama, enerji üretimi, sulama veya taşkın kontrolü gibi amaçlarla inşa edilmiş büyük barajlardan küçük göletlere kadar tüm su yapılarının toplam adetini ifade eden bir altyapı göstergesidir. Bu metrik, ilin su kaynaklarını yönetme ve depolama konusundaki altyapı zenginliğini ve bu alana tarihsel olarak yapılmış olan yatırımın boyutunu gösterir. Yüksek bir sayı, genellikle tarımsal sulama, içme suyu temini ve hidroelektrik enerji potansiyeli için geniş bir altyapı ağına işaret eder. Ancak, bu gösterge barajların büyüklüğü veya toplam depolama kapasitesi hakkında doğrudan bilgi vermediği için, tek başına kullanıldığında yanıltıcı olabilir; bu nedenle genellikle ""Baraj Doluluk Oranı"" veya ""Toplam Su Depolama Kapasitesi"" gibi metriklerle birlikte değerlendirildiğinde daha anlamlı sonuçlar verir."
13,Üniversite Kalite Endeksi,6,"""Üniversite Kalite Endeksi"", bir ilde bulunan yükseköğretim kurumlarının genel akademik performansını, araştırma çıktılarını ve ulusal/uluslararası alandaki saygınlığını bir araya getirerek tek bir standart puanda özetleyen kompozit bir göstergedir. Bu endeks genellikle, üniversitelerin URAP gibi ulusal sıralamalardaki yeri, akademisyen başına düşen bilimsel yayın ve atıf sayısı, öğrenci/akademisyen oranı, mezunlarının niteliği ve AR-GE projeleri için aldığı fon miktarı gibi birden çok performans kriterinin ağırlıklandırılmasıyla oluşturulur. Yüksek bir endeks puanı, ilin güçlü bir akademik ekosisteme, yüksek nitelikli bir ""beyin gücü"" potansiyeline ve sanayi ile iş birliği yapma kapasitesi yüksek üniversitelere sahip olduğunu gösterir. Bu durum, özellikle AR-GE merkezleri ve teknoloji odaklı yatırımlar için o ili son derece çekici kılar."
14,Üniversite Sayısı,6,"""Üniversite Sayısı"", bir ilin coğrafi sınırları içerisinde yer alan, Yükseköğretim Kurulu (YÖK) tarafından tanınan devlet, vakıf ve meslek yüksekokulu statüsündeki tüm yükseköğretim kurumlarının toplam adetini ifade eden bir altyapı göstergesidir. Bu metrik, ildeki yükseköğretim altyapısının niceliksel genişliğini, çeşitliliğini ve öğrenci popülasyonunu çekme kapasitesini gösterir. Yüksek bir sayı, genellikle daha fazla akademik seçenek ve daha geniş bir kampüs ekosisteminin varlığına işaret eder. Ancak, bu gösterge tek başına kurumların akademik kalitesi, araştırma kapasitesi veya prestiji hakkında bilgi vermez; yalnızca niceliksel bir ölçüttür. Bu nedenle, bir ilin ""beyin gücü"" potansiyelini tam olarak anlamak için ""Üniversite Kalite Endeksi"" ve ""Akademisyen Sayısı"" gibi niteliksel metriklerle birlikte değerlendirilmesi kritik öneme sahiptir."
15,Lisansüstü Aktif Öğrenci Sayısı,6,"""Lisansüstü Aktif Öğrenci Sayısı"", bir ildeki üniversitelerde, lisans eğitimini tamamladıktan sonraki akademik seviyeler olan Yüksek Lisans (Tezli/Tezsiz Master) ve Doktora (PhD) programlarına kayıtlı ve aktif olarak öğrenim görmekte olan toplam öğrenci sayısını ifade eden bir beşeri sermaye göstergesidir. Bu metrik, ilin mevcut akademik ve araştırma potansiyelinin ötesinde, gelecekteki ""beyin gücü""nü ve AR-GE işgücü arzını doğrudan ölçer. Yüksek lisans ve doktora öğrencilerinin sayısı, o ildeki üniversitelerin belirli uzmanlık alanlarındaki derinliğini, araştırma altyapısının gücünü ve yeni nesil akademisyenler ile yüksek nitelikli uzmanları yetiştirme kapasitesini yansıtır. Bu nedenle, özellikle ""İleri Teknoloji ve AR-GE Merkezi"" gibi inovasyon odaklı yatırım senaryoları için, bölgedeki potansiyel araştırmacı ve uzman havuzunun en güncel ve en net göstergesi olarak kabul edilir."
